"Entry","Rep","predicted.value","std.error","status"
"BB Ent 3","1",62.0511919952688,3.93023081120925,"Estimable"
"BB Ent 3","2",67.6626484947532,3.89162616770859,"Estimable"
"BB Ent 3","3",67.4677369070949,3.97423316964736,"Estimable"
"BB Ent 3","4",74.918952291195,3.98424114748547,"Estimable"
"BB Ent 3","5",62.2291070393335,5.01979851596038,"Estimable"
"BB Ent 8","1",70.8068413253204,3.43985293599698,"Estimable"
"BB Ent 8","2",76.4182978248049,3.46395570861521,"Estimable"
"BB Ent 8","3",76.2233862371465,3.45604785394681,"Estimable"
"BB Ent 8","4",83.6746016212467,3.48957280600115,"Estimable"
"BB Ent 8","5",70.9847563693851,4.78650175269368,"Estimable"
"BB14-1-a","1",60.4886088617768,3.37027542541761,"Estimable"
"BB14-1-a","2",66.1000653612613,3.41832488383037,"Estimable"
"BB14-1-a","3",65.9051537736029,3.37104109531399,"Estimable"
"BB14-1-a","4",73.3563691577031,3.42187748363896,"Estimable"
"BB14-1-a","5",60.6665239058416,4.58485836360088,"Estimable"
"BB14-1-b","1",65.6983166350431,3.62427443025181,"Estimable"
"BB14-1-b","2",71.3097731345275,3.6073005390364,"Estimable"
"BB14-1-b","3",71.1148615468692,3.64007725239941,"Estimable"
"BB14-1-b","4",78.5660769309693,3.7225282640453,"Estimable"
"BB14-1-b","5",65.8762316791078,4.91563999235331,"Estimable"
"BB14-10b","1",63.3625496510407,3.54529130770058,"Estimable"
"BB14-10b","2",68.9740061505252,3.46688710509084,"Estimable"
"BB14-10b","3",68.7790945628668,3.49890426519757,"Estimable"
"BB14-10b","4",76.230309946967,3.51132222080518,"Estimable"
"BB14-10b","5",63.5404646951054,4.90313220560023,"Estimable"
"BB14-11p","1",35.4652315304538,3.85964021113718,"Estimable"
"BB14-11p","2",41.0766880299382,3.8144166784561,"Estimable"
"BB14-11p","3",40.8817764422799,3.84757810801428,"Estimable"
"BB14-11p","4",48.33299182638,3.98723485884079,"Estimable"
"BB14-11p","5",35.6431465745185,5.17608400077732,"Estimable"
"BB14-12b","1",44.8962482638267,4.29440299887053,"Estimable"
"BB14-12b","2",50.5077047633111,4.27287503730566,"Estimable"
"BB14-12b","3",50.3127931756528,4.39224339542169,"Estimable"
"BB14-12b","4",57.7640085597529,4.37488718913247,"Estimable"
"BB14-12b","5",45.0741633078914,5.40259589620056,"Estimable"
"BB14-13p","1",33.1960843141605,3.81909870971568,"Estimable"
"BB14-13p","2",38.8075408136449,3.84620109932147,"Estimable"
"BB14-13p","3",38.6126292259866,3.78785626345693,"Estimable"
"BB14-13p","4",46.0638446100868,3.79603728484354,"Estimable"
"BB14-13p","5",33.3739993582252,5.02625740939088,"Estimable"
"BB14-14b","1",39.61373105679,3.92477905139047,"Estimable"
"BB14-14b","2",45.2251875562745,4.0253309912805,"Estimable"
"BB14-14b","3",45.0302759686161,4.03820140697097,"Estimable"
"BB14-14b","4",52.4814913527163,4.04930255268042,"Estimable"
"BB14-14b","5",39.7916461008548,5.16032195327761,"Estimable"
"BB14-2-a","1",72.7603246136191,3.40439346017165,"Estimable"
"BB14-2-a","2",78.3717811131036,3.4282031465828,"Estimable"
"BB14-2-a","3",78.1768695254452,3.42106152324167,"Estimable"
"BB14-2-a","4",85.6280849095454,3.43252382090269,"Estimable"
"BB14-2-a","5",72.9382396576839,4.75896851539272,"Estimable"
"BB14-2-b","1",70.7733527094495,3.33475625116463,"Estimable"
"BB14-2-b","2",76.384809208934,3.32314627366617,"Estimable"
"BB14-2-b","3",76.1898976212756,3.37480823740986,"Estimable"
"BB14-2-b","4",83.6411130053758,3.36561569398653,"Estimable"
"BB14-2-b","5",70.9512677535143,4.6363953878427,"Estimable"
"BB14-3p","1",77.589087623365,3.72548639101974,"Estimable"
"BB14-3p","2",83.2005441228494,3.72685416994074,"Estimable"
"BB14-3p","3",83.005632535191,3.80822600721775,"Estimable"
"BB14-3p","4",90.4568479192912,3.74864911970128,"Estimable"
"BB14-3p","5",77.7670026674297,5.07576490766622,"Estimable"
"BB14-4b","1",77.6156190140401,3.37467487709914,"Estimable"
"BB14-4b","2",83.2270755135246,3.35688359090863,"Estimable"
"BB14-4b","3",83.0321639258662,3.36920380678953,"Estimable"
"BB14-4b","4",90.4833793099664,3.42533206091656,"Estimable"
"BB14-4b","5",77.7935340581049,4.81229577486563,"Estimable"
"BB14-5p","1",62.3966525076806,3.53617224886198,"Estimable"
"BB14-5p","2",68.0081090071651,3.5641467763621,"Estimable"
"BB14-5p","3",67.8131974195067,3.55509208195117,"Estimable"
"BB14-5p","4",75.2644128036069,3.56451769002331,"Estimable"
