"geno_id_Meng","year","predicted.value","std.error","status"
"10_17-Cross BB14-5p","22",5.27416578629548,0.854339454531207,"Estimable"
"10_18-Cross BB14-5p","23",8.30817254269905,0.854219847625917,"Estimable"
"10_18-Cross BB14-5p","22",6.75299721252325,0.854339454531207,"Estimable"
"10_19-Cross BB14-5p","23",3.7870039689268,0.854219847625917,"Estimable"
"10_19-Cross BB14-5p","22",2.231828638751,0.854339454531207,"Estimable"
"10_2-Cross BB14-4b","23",9.26583539515456,0.854219847625917,"Estimable"
"10_2-Cross BB14-4b","22",7.71066006497876,0.854339454531207,"Estimable"
"10_20-Cross BB14-5p","23",8.26583539515456,0.854219847625917,"Estimable"
"10_20-Cross BB14-5p","22",6.71066006497876,0.854339454531207,"Estimable"
"10_21-Cross BB14-5p","23",7.74466682138231,0.854219847625917,"Estimable"
"10_21-Cross BB14-5p","22",6.18949149120651,0.854339454531207,"Estimable"
"10_22-Cross BB14-5p","23",4.7446668213823,0.854219847625917,"Estimable"
"10_22-Cross BB14-5p","22",3.1894914912065,0.854339454531207,"Estimable"
"10_23-Cross BB14-5p","23",8.7870039689268,0.854219847625917,"Estimable"
"10_23-Cross BB14-5p","22",7.231828638751,0.854339454531207,"Estimable"
"10_24-Cross BB14-5p","23",8.26583539515456,0.854219847625918,"Estimable"
"10_24-Cross BB14-5p","22",6.71066006497876,0.854339454531207,"Estimable"
"10_25-Cross BB14-5p","23",8.7870039689268,0.854219847625917,"Estimable"
"10_25-Cross BB14-5p","22",7.231828638751,0.854339454531207,"Estimable"
"10_26-Cross BB14-5p","23",4.30817254269904,0.854219847625917,"Estimable"
"10_26-Cross BB14-5p","22",2.75299721252323,0.854339454531207,"Estimable"
"10_27-Cross BB14-5p","23",3.55517533017581,1.23548221880245,"Estimable"
"10_27-Cross BB14-5p","22",2.00000000000001,1.23352724040462,"Estimable"
"10_28-Cross BB14-5p","23",5.30817254269904,0.854219847625917,"Estimable"
"10_28-Cross BB14-5p","22",3.75299721252324,0.854339454531207,"Estimable"
"10_3-Cross BB14-4b","23",8.30817254269904,0.854219847625918,"Estimable"
"10_3-Cross BB14-4b","22",6.75299721252324,0.854339454531207,"Estimable"
"10_31-Cross BB14-9p","23",9.78700396892681,0.854219847625918,"Estimable"
"10_31-Cross BB14-9p","22",8.23182863875101,0.854339454531207,"Estimable"
"10_32-Cross BB14-9p","23",10,0.854219847625918,"Estimable"
"10_32-Cross BB14-9p","22",8.71066006497876,0.854339454531207,"Estimable"
"10_33-Cross BB14-9p","23",10,0.854219847625917,"Estimable"
"10_33-Cross BB14-9p","22",8.71066006497876,0.854339454531207,"Estimable"
"10_34-Cross BB14-9p","23",9.74466682138232,0.854219847625918,"Estimable"
"10_34-Cross BB14-9p","22",8.18949149120651,0.854339454531207,"Estimable"
"10_35-Cross BB14-9p","23",10,0.854219847625918,"Estimable"
"10_35-Cross BB14-9p","22",9.18949149120652,0.854339454531207,"Estimable"
"10_36-Cross BB14-9p","23",7.74466682138231,0.854219847625918,"Estimable"
"10_36-Cross BB14-9p","22",6.18949149120651,0.854339454531207,"Estimable"
"10_37-Cross BB14-9p","23",10,0.854219847625917,"Estimable"
"10_37-Cross BB14-9p","22",8.71066006497876,0.854339454531207,"Estimable"
"10_38-Cross BB14-9p","23",5.87167826401577,0.854219847625918,"Estimable"
"10_38-Cross BB14-9p","22",4.31650293383997,0.854339454531207,"Estimable"
"10_39-Cross BB14-9p","23",6.26583539515455,0.854219847625918,"Estimable"
"10_39-Cross BB14-9p","22",4.71066006497875,0.854339454531207,"Estimable"
"10_4-Cross BB14-4b","23",8.7870039689268,0.854219847625917,"Estimable"
"10_4-Cross BB14-4b","22",7.231828638751,0.854339454531207,"Estimable"
"10_5-Cross BB14-4b","23",9.78700396892681,0.854219847625918,"Estimable"
"10_5-Cross BB14-4b","22",8.23182863875101,0.854339454531207,"Estimable"
"10_7-Cross BB14-4b","23",9.26583539515455,0.854219847625917,"Estimable"
"10_7-Cross BB14-4b","22",7.71066006497875,0.854339454531207,"Estimable"
"10_8-Cross BB14-4b","23",9.26583539515455,0.854219847625917,"Estimable"
"10_8-Cross BB14-4b","22",7.71066006497875,0.854339454531207,"Estimable"
"10_9-Cross BB14-4b","23",9.26583539515455,0.854219847625917,"Estimable"
"10_9-Cross BB14-4b","22",7.71066006497875,0.854339454531207,"Estimable"
"11_1-Cross BB14-4b","23",7.78700396892679,0.854219847625918,"Estimable"
"11_1-Cross BB14-4b","22",6.23182863875099,0.854339454531207,"Estimable"
"11_10-Cross BB14-4b","23",4.87167826401576,0.854219847625917,"Estimable"
"11_10-Cross BB14-4b","22",3.31650293383996,0.854339454531207,"Estimable"
"11_11-LTCk Vernal","23",3.30817254269904,0.854219847625917,"Estimable"
"11_11-LTCk Vernal","22",1.75299721252324,0.854339454531207,"Estimable"
"11_2-Cross BB14-4b","23",8.30817254269904,0.854219847625917,"Estimable"
"11_2-Cross BB14-4b","22",6.75299721252324,0.854339454531207,"Estimable"
"11_21-Cross BB14-1-a","23",10,0.854219847625917,"Estimable"
"11_21-Cross BB14-1-a","22",8.71066006497875,0.854339454531207,"Estimable"
"11_22-Cross BB14-1-a","23",8.99999999999999,1.18236334506035,"Estimable"
"11_22-Cross BB14-1-a","22",7.44482466982419,1.18440277773192,"Estimable"
"11_23-Cross BB14-1-a","23",8.26583539515455,0.854219847625917,"Estimable"
"11_23-Cross BB14-1-a","22",6.71066006497875,0.854339454531207,"Estimable"
"11_24-Cross BB14-1-a","23",9.7870039689268,0.854219847625917,"Estimable"
"11_24-Cross BB14-1-a","22",8.231828638751,0.854339454531207,"Estimable"
"11_25-Cross BB14-1-a","23",9.7870039689268,0.854219847625917,"Estimable"
"11_25-Cross BB14-1-a","22",8.231828638751,0.854339454531207,"Estimable"
"11_27-Cross BB14-1-a","23",8.78700396892679,0.854219847625917,"Estimable"
"11_27-Cross BB14-1-a","22",7.23182863875099,0.854339454531207,"Estimable"
