"Entry","Rep","predicted.value","std.error","status"
"BB Ent 3","1",4.87259958916878,0.0892260130708106,"Estimable"
"BB Ent 3","2",5.37079009165769,0.0877913311724622,"Estimable"
"BB Ent 3","3",5.78797631329186,0.088898933762911,"Estimable"
"BB Ent 3","4",6.38155165290916,0.0907722275247843,"Estimable"
"BB Ent 3","5",4.43753727756822,0.159252921271958,"Estimable"
"BB Ent 8","1",5.66084315006015,0.0715459434311663,"Estimable"
"BB Ent 8","2",6.15903365254906,0.0718266883893251,"Estimable"
"BB Ent 8","3",6.57621987418324,0.0716452341540716,"Estimable"
"BB Ent 8","4",7.16979521380054,0.0721243133115982,"Estimable"
"BB Ent 8","5",5.2257808384596,0.153065213042987,"Estimable"
"BB14-1-a","1",5.46752080435005,0.0799720648027616,"Estimable"
"BB14-1-a","2",5.96571130683896,0.0797952131548058,"Estimable"
"BB14-1-a","3",6.38289752847313,0.0795441269056105,"Estimable"
"BB14-1-a","4",6.97647286809043,0.0814893989090283,"Estimable"
"BB14-1-a","5",5.03245849274949,0.158609684741016,"Estimable"
"BB14-1-b","1",5.6548258234539,0.084897475316358,"Estimable"
"BB14-1-b","2",6.15301632594281,0.0843414434252809,"Estimable"
"BB14-1-b","3",6.57020254757698,0.0849858689042287,"Estimable"
"BB14-1-b","4",7.16377788719428,0.0878491645356568,"Estimable"
"BB14-1-b","5",5.21976351185334,0.159571891267371,"Estimable"
"BB14-10b","1",5.07893916033626,0.0688627583937962,"Estimable"
"BB14-10b","2",5.57712966282517,0.0677787329055875,"Estimable"
"BB14-10b","3",5.99431588445935,0.0680355796047771,"Estimable"
"BB14-10b","4",6.58789122407665,0.0685621451835352,"Estimable"
"BB14-10b","5",4.64387684873571,0.15294608512477,"Estimable"
"BB14-11p","1",2.10977359435863,0.0756726496937374,"Estimable"
"BB14-11p","2",2.60796409684754,0.0746859050845202,"Estimable"
"BB14-11p","3",3.02515031848171,0.0762759941774036,"Estimable"
"BB14-11p","4",3.61872565809901,0.0767675691045456,"Estimable"
"BB14-11p","5",1.67471128275807,0.153252960355256,"Estimable"
"BB14-12b","1",3.0512967579742,0.104643827597263,"Estimable"
"BB14-12b","2",3.54948726046311,0.10316933838577,"Estimable"
"BB14-12b","3",3.96667348209728,0.10520459069852,"Estimable"
"BB14-12b","4",4.56024882171458,0.105087277717159,"Estimable"
"BB14-12b","5",2.61623444637364,0.169734241469179,"Estimable"
"BB14-13p","1",2.03821598526667,0.0721906433983848,"Estimable"
"BB14-13p","2",2.53640648775558,0.0737076928368305,"Estimable"
"BB14-13p","3",2.95359270938975,0.0727092206706485,"Estimable"
"BB14-13p","4",3.54716804900705,0.0726813866082708,"Estimable"
"BB14-13p","5",1.60315367366611,0.154852893520863,"Estimable"
"BB14-14b","1",2.85062905959309,0.0805429121509001,"Estimable"
"BB14-14b","2",3.348819562082,0.0799727695900051,"Estimable"
"BB14-14b","3",3.76600578371617,0.0806357639859935,"Estimable"
"BB14-14b","4",4.35958112333347,0.0825660713182158,"Estimable"
"BB14-14b","5",2.41556674799253,0.157302256367542,"Estimable"
"BB14-2-a","1",5.78014420719182,0.0725824462357813,"Estimable"
"BB14-2-a","2",6.27833470968073,0.072818997469859,"Estimable"
"BB14-2-a","3",6.6955209313149,0.072637922305573,"Estimable"
"BB14-2-a","4",7.2890962709322,0.0731368622803037,"Estimable"
"BB14-2-a","5",5.34508189559127,0.15492440106566,"Estimable"
"BB14-2-b","1",5.99099498705076,0.0734624522044677,"Estimable"
"BB14-2-b","2",6.48918548953967,0.0719429731696521,"Estimable"
"BB14-2-b","3",6.90637171117384,0.072628011337448,"Estimable"
"BB14-2-b","4",7.49994705079114,0.0731327436615881,"Estimable"
"BB14-2-b","5",5.5559326754502,0.155026916527277,"Estimable"
"BB14-3p","1",5.84847111971516,0.0667215637792018,"Estimable"
"BB14-3p","2",6.34666162220407,0.0665096311518148,"Estimable"
"BB14-3p","3",6.76384784383825,0.0667823276705351,"Estimable"
"BB14-3p","4",7.35742318345555,0.0678330215045554,"Estimable"
"BB14-3p","5",5.4134088081146,0.152306118142864,"Estimable"
"BB14-4b","1",6.76852913019058,0.0696809764028447,"Estimable"
"BB14-4b","2",7.26671963267949,0.0690347844653547,"Estimable"
"BB14-4b","3",7.68390585431367,0.0692816922486426,"Estimable"
"BB14-4b","4",8.27748119393097,0.0707918255629763,"Estimable"
"BB14-4b","5",6.33346681859003,0.15356925145074,"Estimable"
"BB14-5p","1",5.10946194893378,0.0758121989878892,"Estimable"
"BB14-5p","2",5.60765245142269,0.076078850878085,"Estimable"
"BB14-5p","3",6.02483867305687,0.0763285688813386,"Estimable"
"BB14-5p","4",6.61841401267417,0.0768299498587696,"Estimable"
"BB14-5p","5",4.67439963733323,0.156576136433675,"Estimable"
"BB14-6b","1",5.85849133428264,0.0770894393067781,"Estimable"
"BB14-6b","2",6.35668183677155,0.0769520443407872,"Estimable"
"BB14-6b","3",6.77386805840572,0.0789816553154898,"Estimable"
"BB14-6b","4",7.36744339802302,0.0795657076486517,"Estimable"
"BB14-6b","5",5.42342902268208,0.157510054944059,"Estimable"
"BB14-7p","1",2.64432670533018,0.0740932541495659,"Estimable"
"BB14-7p","2",3.14251720781909,0.0734653065245276,"Estimable"
"BB14-7p","3",3.55970342945326,0.0746062681457014,"Estimable"
"BB14-7p","4",4.15327876907056,0.0756370919629026,"Estimable"
"BB14-7p","5",2.20926439372962,0.155763487510914,"Estimable"
"BB14-8b","1",2.94380653226935,0.1042406184419,"Estimable"
