"Entry","Rep","Site","predicted.value","std.error","status"
"BB14-14b","4","year22",43.5956048740058,0.0825659356462476,"Estimable"
"BB14-14b","4","year23",51.8628637644292,0.857770007057084,"Estimable"
"BB14-14b","5","year22",24.1587608781555,0.157285950938991,"Estimable"
"BB14-14b","5","year23",39.9216568184435,1.1823368531814,"Estimable"
"BB14-2-a","1","year22",57.8016040380284,0.0725823455792895,"Estimable"
"BB14-2-a","1","year23",73.2796192183766,0.629504612079293,"Estimable"
"BB14-2-a","2","year22",62.7833754246348,0.0728188971112498,"Estimable"
"BB14-2-a","2","year23",78.6924175936786,0.633859500254861,"Estimable"
"BB14-2-a","3","year22",66.955166414248,0.0726378208353539,"Estimable"
"BB14-2-a","3","year23",78.4526797698302,0.632567230967912,"Estimable"
"BB14-2-a","4","year22",72.8908167642043,0.0731367437610182,"Estimable"
"BB14-2-a","4","year23",85.8478440314118,0.635714994989378,"Estimable"
"BB14-2-a","5","year22",53.453972768354,0.154907407366132,"Estimable"
"BB14-2-a","5","year23",73.906637085426,1.04629445389075,"Estimable"
"BB14-2-b","1","year22",59.9101200339822,0.0734623361080238,"Estimable"
"BB14-2-b","1","year23",71.21431869581,0.608873994981215,"Estimable"
"BB14-2-b","2","year22",64.8918914205886,0.0719428867861802,"Estimable"
"BB14-2-b","2","year23",76.6271170711118,0.604954915158192,"Estimable"
"BB14-2-b","3","year22",69.0636824102018,0.0726279100264921,"Estimable"
"BB14-2-b","3","year23",76.3873792472635,0.617127400728829,"Estimable"
"BB14-2-b","4","year22",74.9993327601581,0.0731326246717923,"Estimable"
"BB14-2-b","4","year23",83.7825435088451,0.615718027576286,"Estimable"
"BB14-2-b","5","year22",55.5624887643078,0.155009904269954,"Estimable"
"BB14-2-b","5","year23",71.8413365628594,1.02345146596332,"Estimable"
"BB14-3p","1","year22",58.4848681239155,0.066721454729549,"Estimable"
"BB14-3p","1","year23",77.7251685145385,0.740167559515207,"Estimable"
"BB14-3p","2","year22",63.4666395105219,0.0665095301255299,"Estimable"
"BB14-3p","2","year23",83.1379668898404,0.739873766355219,"Estimable"
"BB14-3p","3","year22",67.6384305001351,0.0667822180097492,"Estimable"
